supplier_Name,Contact_person,Address,Phone,Website,E-mail,supplier_Category,
" A W C, Inc. ", Mark Saunier ,"2820 SPID - #195, Corpus Christi, Tx, 78415",512-851-2922,None,markawc@mail.interconnect.net,Automation Controls,
" A.D. Instruments, Inc. ", Bob Duffy ,"5111 Nations Crossing Rd.,#8 Ste. 2, Charlotte, NC, 28217",704-522-8415,None,info@petropages.com,Automation Controls,
 AbleCommunicationsLtd. , Jim Duncan ,"Craigshaw Road, Aberdeen, UK, AB123AR",+(0)1224 878484,co.uk,Admin@Able-Communications.co.uk,Automation Controls,
 AccuRate , Shane Kilpin ,"746 E. Milwaukee St, Whitewater, WI, 53190",262-473-2441,accuratefeeders.com,karas@sarinc.com,Automation Controls,
 ACM Automation , Annette Hepton ,"500, 900 - 6 Avenue SW, Calgary, Alberta, T2P 3K2",403-264-9637,ab.ca,annette.hepton@acm.ab.ca,Automation Controls,
 ACROMAG , Bruce Dye ,"30765 WIXOM ROAD, WIXOM, MI, 48393-2417",313-624-1541,None,info@petropages.com,Automation Controls,
" ACS, Inc. ", Sherman Smith ,"1999 Alpine Way, Bellingham, WA, 98226",360-676-6005,acs-acs.com,sherman@acs-acs.com,Automation Controls,
 ACSI , James Case ,"8720 Lambright Road, Houston, TX, 77075",713-987-0336,acsi-us.com,jcase@acsi-us.com,Automation Controls,
" Acutec Systems,Ltd. ", John Grimes ,"P.O. Box 217, 109 Main Street, Lampman, Sask, S0C 1N0",306-487-2536,acutec-ltd.com,jgrimes@sk.sympatico.ca,Automation Controls,
 Agni HeavyEngineeringIndustries Ltd. , D. Balachandran ,"No. 20, 1st Street, Vedhachala Nagar, Kodambakkam, Chennai, 600 024",-4819645,co.in,agnicemd2.vsnl.net.in,Automation Controls,
" Air Instruments &Measurements, LLC ", Harry Lord ,"PMB 391, 3579 Foothill Blvd., Pasadena, CA, 91107",626-791-1912,aimanalysis.com,hlord@aimanalysis.com,Automation Controls,
 Air PollutionControlSpecialists , ,"1918 Fir Tree Dr, League City, TX, 77573",281-332-7935,None,kmihalski@ev1.net,Automation Controls,
" Air Relief, Inc. ", Jan Jansen ,"P.O. Box 311, Highway 45 North, Mayfield, KY, 42066",270-247-0203,airrelief.com,air@airrelief.com,Automation Controls,
 Airgas SafetyServices , Dave Asher ,"4115 Galveston Road, Houston, Texas, 77017",713-641-5100,airgas.com,info@petropages.com,Automation Controls,
 AKI Control System , Jerry Zatopek ,"2200 Cherry Street, Waller, TX, 77484",281-855-6400,None,info@petropages.com,Automation Controls,
 All-Phase ElectricSupply , Zachery Kinsaul ,"5255 Brook Hollow Pkwy., Norcross, GA, 30071",770-871-1951,all-phase.com,zkinsaul@all-phase.com,Automation Controls,
 Allen-Bradley , Tom Gary ,"15411 Vantage PK. W., Houston, TX, 77032-1967",281-590-8282,None,info@petropages.com,Automation Controls,
 Allesco , Gary Cauble ,"14375 Sommermeyer Rd., Houston, TX, 77041",713-462-6200,allesco.com,sales@allesco.com,Automation Controls,
 Alpha ProcessSales Inc , Willie Oeffinger ,"P O Box 2003, Sugarland, TX, 77487-2003",281-240-4505,alphaprocesssales.com,willyo@alphaps.com,Automation Controls,
" Alphasonics, Inc. ", Brian Bauman ,"8403 Cross Park Suite, 1-F, Austin, TX, 78754",888-77-ALPHA,alphasonicsinc.com,info@alphasonicsinc.com,Automation Controls,
" ALSCO IndustrialProducts, Inc. ", Joe White ,"1265 Mount Vernon Rd., Lithia Springs, GA, 30122",1-800-849-3030,alscoind.com,joe.alsco@mindspring.com,Automation Controls,
 Alston Equipment , Jeff Alston ,"414 East Mulberry Street, Building B, Amite, LA, 70422",985-748-8482,alstonequipment.com,info@petropages.com,Automation Controls,
 AlWest ElectricalSurplus , Lance Magdy ,"7042 30 Street S.E., Calgary, Alberta, T2C 1N9",403-203-9063,8k.com,address@alwestelectricalsurplus.8k.com,Automation Controls,
 American Analog , Craig Morris ,"500 Century Plaza Drive, #140, Houston, TX, 77073",713-941-7265,americananalog.com,craig.morris@americananalog.com,Automation Controls,
 American SignalCorporation , Tom Cypert ,"4801 W. Woolworth Ave., Milwaukee, Wisconsin, 53218",800-243-2911,americansignal.com,tcypert@americansignal.com,Automation Controls,
 AMOT ControlsCorporation , Samella Stover ,"401 First Street, Richmond, California, 94801",281- 940 1800,amotusa.com,sales@amotusa.com,Automation Controls,
 Apix Corporation , Dennis Mezzatesta ,"7829 Greenbriar Parkway, Orlando, FL, 32819",407-903-0200,apixcorp.com,sales@apixcorp.com,Automation Controls,
 Aqua TreatmentServices , Eric Turner ,"PO Box 788, Casper, Wyoming, 82602-0788",877-682-2782,aquatreatmentservices.com,atijet@aol.com,Automation Controls,
 Ardent ServicesLLC , Bryan West ,"170 New Camellia Blvd, Suite 200, Covington, LA, 70433",985-792-3000,ardent.us,info@ardent.us,Automation Controls,
 Argo InternationalCorporation , Gary Mann ,"140 Franklin Street, New York, NY, 10013",212-431-1700,argointl.com,info@argointl.com,Automation Controls,
" Arm-Tex,Corporation ", Thad Hairston ,"1000 Columbus Ave, Waco, TX, 76701",254-752-0000,arm-tex.com,solutions@arm-tex.com,Automation Controls,
" Ashcroft, Inc. ", Customer & Sales Support ,"250 East Main Street, Stratford, CT, 06614-5145",203-378-8281,ashcroft.com,info@ashcroft.com,Automation Controls,
