supplier_Name,Contact_person,Address
" A W C, Inc. ", Mark Saunier ,"2820 SPID - #195, Corpus Christi, Tx, 78415"
" A.D. Instruments, Inc. ", Bob Duffy ,"5111 Nations Crossing Rd.,#8 Ste. 2, Charlotte, NC, 28217"
 AbleCommunicationsLtd. , Jim Duncan ,"Craigshaw Road, Aberdeen, UK, AB123AR"
 AccuRate , Shane Kilpin ,"746 E. Milwaukee St, Whitewater, WI, 53190"
 ACM Automation , Annette Hepton ,"500, 900 - 6 Avenue SW, Calgary, Alberta, T2P 3K2"
 ACROMAG , Bruce Dye ,"30765 WIXOM ROAD, WIXOM, MI, 48393-2417"
" ACS, Inc. ", Sherman Smith ,"1999 Alpine Way, Bellingham, WA, 98226"
 ACSI , James Case ,"8720 Lambright Road, Houston, TX, 77075"
" Acutec Systems,Ltd. ", John Grimes ,"P.O. Box 217, 109 Main Street, Lampman, Sask, S0C 1N0"
 Agni HeavyEngineeringIndustries Ltd. , D. Balachandran ,"No. 20, 1st Street, Vedhachala Nagar, Kodambakkam, Chennai, 600 024"
