supplier_Name,supplier_URL,supplier_category
"A W C, Inc.",http://petropages.directory/supplier/a-w-c-inc-,Automation Controls
"A.D. Instruments,  Inc.",http://petropages.directory/supplier/a-d-instruments-inc-,Automation Controls
Able Communications Ltd.,http://petropages.directory/supplier/able-communications-ltd-,Automation Controls
AccuRate,http://petropages.directory/supplier/accurate,Automation Controls
ACM Automation,http://petropages.directory/supplier/acm-automation,Automation Controls
ACROMAG,http://petropages.directory/supplier/acromag,Automation Controls
"ACS, Inc.",http://petropages.directory/supplier/acs-inc-,Automation Controls
ACSI,http://petropages.directory/supplier/acsi,Automation Controls
"Acutec Systems, Ltd.",http://petropages.directory/supplier/acutec-systems-ltd-,Automation Controls
Agni Heavy Engineering Industries Ltd.,http://petropages.directory/supplier/agni-heavy-engineering-industries-ltd-,Automation Controls
"Air Instruments & Measurements, LLC",http://petropages.directory/supplier/air-instruments-measurements-llc,Automation Controls
Air Pollution Control Specialists,http://petropages.directory/supplier/air-pollution-control-specialists,Automation Controls
"Air Relief, Inc.",http://petropages.directory/supplier/air-relief-inc-,Automation Controls
Airgas Safety Services,http://petropages.directory/supplier/airgas-safety-services,Automation Controls
AKI Control System,http://petropages.directory/supplier/aki-control-system,Automation Controls
All-Phase Electric Supply,http://petropages.directory/supplier/all-phase-electric-supply,Automation Controls
Allen-Bradley,http://petropages.directory/supplier/allen-bradley,Automation Controls
Allesco,http://petropages.directory/supplier/allesco,Automation Controls
Alpha Process Sales Inc,http://petropages.directory/supplier/alpha-process-sales-inc,Automation Controls
"Alphasonics, Inc.",http://petropages.directory/supplier/alphasonics-inc-,Automation Controls
"ALSCO Industrial Products, Inc.",http://petropages.directory/supplier/alsco-industrial-products-inc-,Automation Controls
Alston Equipment,http://petropages.directory/supplier/alston-equipment,Automation Controls
AlWest Electrical Surplus,http://petropages.directory/supplier/alwest-electrical-surplus,Automation Controls
American Analog,http://petropages.directory/supplier/american-analog,Automation Controls
American Signal Corporation,http://petropages.directory/supplier/american-signal-corporation,Automation Controls
AMOT Controls Corporation,http://petropages.directory/supplier/amot-controls-corporation,Automation Controls
Apix Corporation,http://petropages.directory/supplier/apix-corporation,Automation Controls
Aqua Treatment Services,http://petropages.directory/supplier/aqua-treatment-services,Automation Controls
Ardent Services LLC,http://petropages.directory/supplier/ardent-services-llc,Automation Controls
Argo International Corporation,http://petropages.directory/supplier/argo-international-corporation,Automation Controls
"Arm-Tex, Corporation",http://petropages.directory/supplier/arm-tex-corporation,Automation Controls
"Ashcroft, Inc.",http://petropages.directory/supplier/ashcroft-inc-,Automation Controls
Askco Instrument Corp.,http://petropages.directory/supplier/askco-instrument-corp-,Automation Controls
