supplier_Name,Contact_person,Address,Phone,Website,E-mail,supplier_Category,State
" A W C, Inc. ", Mark Saunier ,"2820 SPID - #195, Corpus Christi, Tx, 78415",512-851-2922,None,markawc@mail.interconnect.net,Automation Controls,Texas
" A.D. Instruments, Inc. ", Bob Duffy ,"5111 Nations Crossing Rd.,#8 Ste. 2, Charlotte, NC, 28217",704-522-8415,None,info@petropages.com,Automation Controls,North Carolina
 AbleCommunicationsLtd. , Jim Duncan ,"Craigshaw Road, Aberdeen, UK, AB123AR",+(0)1224 878484,co.uk,Admin@Able-Communications.co.uk,Automation Controls, 
 AccuRate , Shane Kilpin ,"746 E. Milwaukee St, Whitewater, WI, 53190",262-473-2441,accuratefeeders.com,karas@sarinc.com,Automation Controls,Wisconsin
 ACM Automation , Annette Hepton ,"500, 900 - 6 Avenue SW, Calgary, Alberta, T2P 3K2",403-264-9637,ab.ca,annette.hepton@acm.ab.ca,Automation Controls, 
 ACROMAG , Bruce Dye ,"30765 WIXOM ROAD, WIXOM, MI, 48393-2417",313-624-1541,None,info@petropages.com,Automation Controls, 
" ACS, Inc. ", Sherman Smith ,"1999 Alpine Way, Bellingham, WA, 98226",360-676-6005,acs-acs.com,sherman@acs-acs.com,Automation Controls,Washington
 ACSI , James Case ,"8720 Lambright Road, Houston, TX, 77075",713-987-0336,acsi-us.com,jcase@acsi-us.com,Automation Controls,Texas
" Acutec Systems,Ltd. ", John Grimes ,"P.O. Box 217, 109 Main Street, Lampman, Sask, S0C 1N0",306-487-2536,acutec-ltd.com,jgrimes@sk.sympatico.ca,Automation Controls, 
 Agni HeavyEngineeringIndustries Ltd. , D. Balachandran ,"No. 20, 1st Street, Vedhachala Nagar, Kodambakkam, Chennai, 600 024",-4819645,co.in,agnicemd2.vsnl.net.in,Automation Controls, 
" Air Instruments &Measurements, LLC ", Harry Lord ,"PMB 391, 3579 Foothill Blvd., Pasadena, CA, 91107",626-791-1912,aimanalysis.com,hlord@aimanalysis.com,Automation Controls,California
 Air PollutionControlSpecialists , ,"1918 Fir Tree Dr, League City, TX, 77573",281-332-7935,None,kmihalski@ev1.net,Automation Controls,Texas
" Air Relief, Inc. ", Jan Jansen ,"P.O. Box 311, Highway 45 North, Mayfield, KY, 42066",270-247-0203,airrelief.com,air@airrelief.com,Automation Controls,Kentucky
 Airgas SafetyServices , Dave Asher ,"4115 Galveston Road, Houston, Texas, 77017",713-641-5100,airgas.com,info@petropages.com,Automation Controls,Texas
 AKI Control System , Jerry Zatopek ,"2200 Cherry Street, Waller, TX, 77484",281-855-6400,None,info@petropages.com,Automation Controls,Texas
 All-Phase ElectricSupply , Zachery Kinsaul ,"5255 Brook Hollow Pkwy., Norcross, GA, 30071",770-871-1951,all-phase.com,zkinsaul@all-phase.com,Automation Controls,Georgia
 Allen-Bradley , Tom Gary ,"15411 Vantage PK. W., Houston, TX, 77032-1967",281-590-8282,None,info@petropages.com,Automation Controls,Texas
